canal_id,nombre_canal,categoria,provincia,ciudad,suscriptores,certeza,metodo_deteccion,indicadores_argentinidad,url,fecha_deteccion
UCCLxBpVx_8ka7jl-Widt3nw,HD-Streaming Argentina,Entretenimiento,Argentina,Por determinar,1440.0,100.0,explicit_country,"""metadata_AR, codigo_ARGENTINA, menciona_argentina, menciona_arg""",https://youtube.com/channel/UCCLxBpVx_8ka7jl-Widt3nw,2025-06-29
UC_SSyrcj4AuL792D4SjICqA,Wow Streaming,Charlas/Podcast,San Juan,Por determinar,1180.0,82.0,local_code,"""codigo_SAN JUAN, menciona_argentina, menciona_arg, locations_1""",https://youtube.com/channel/UC_SSyrcj4AuL792D4SjICqA,2025-06-29
UC7vcB8iuaDPMiX-lePxhBAg,Mucho Stream,Charlas/Podcast,Jujuy,Por determinar,1490.0,100.0,explicit_country,"""metadata_AR, codigo_JUJUY, menciona_argentina, menciona_argentino, menciona_argentinos, menciona_arg, locations_1""",https://youtube.com/channel/UC7vcB8iuaDPMiX-lePxhBAg,2025-06-29
UC9UpeHkknAswiUlEwIf60nQ,Campo Stream,Entretenimiento,Argentina,Por determinar,5940.0,80.0,explicit_country,"""metadata_AR, menciona_argentino, menciona_arg""",https://youtube.com/channel/UC9UpeHkknAswiUlEwIf60nQ,2025-06-29
UC1aQjrlKW98rGjm529FTm2A,Santuario del Cerro Schoenstatt,Estilo de Vida,Córdoba,Por determinar,8060.0,82.0,local_code,"""codigo_CBA, menciona_argentina, menciona_arg, locations_1""",https://youtube.com/channel/UC1aQjrlKW98rGjm529FTm2A,2025-06-29
UCE46ERLLq3JG9DHRNDTJDHQ,"De Reco al Mundo ""AGO y MAXI""",Cocina,Argentina,Por determinar,10200.0,100.0,explicit_country,"""metadata_AR, codigo_ARGENTINA, menciona_argentina, menciona_arg""",https://youtube.com/channel/UCE46ERLLq3JG9DHRNDTJDHQ,2025-06-29
UC3iv95VAdruDj5D-q2CVI1g,Faku D. / Diego Torres y + Música Argentina,Música,Argentina,Por determinar,4640.0,100.0,explicit_country,"""metadata_AR, codigo_ARGENTINA, menciona_argentina, menciona_arg""",https://youtube.com/channel/UC3iv95VAdruDj5D-q2CVI1g,2025-06-29
UCigMtQPA1eB3pAa1ri78syg,MISTICA,Deportes,Misiones,Por determinar,49900.0,100.0,explicit_country,"""metadata_AR, codigo_ARGENTINA, menciona_argentina, menciona_argentino, menciona_arg, locations_1""",https://youtube.com/channel/UCigMtQPA1eB3pAa1ri78syg,2025-06-29
UC5Nhn_0iHyLL6Dpeu_rZJfw,Handball Streaming,Deportes,Misiones,Por determinar,2860.0,100.0,explicit_country,"""metadata_AR, codigo_ARGENTINA, menciona_argentina, menciona_arg, locations_1""",https://youtube.com/channel/UC5Nhn_0iHyLL6Dpeu_rZJfw,2025-06-29
UCYmmbEYFdhgMCafTY1r8m-A,Diario La Verdad de Junín,Entretenimiento,Argentina,Por determinar,1770.0,100.0,explicit_country,"""metadata_AR, codigo_ARGENTINA, menciona_argentina, menciona_arg""",https://youtube.com/channel/UCYmmbEYFdhgMCafTY1r8m-A,2025-06-29
UCYW7KhGYkchc3_pPg81XqtQ,Trail Running Argentina,Charlas/Podcast,Argentina,Por determinar,1840.0,100.0,explicit_country,"""metadata_AR, codigo_ARGENTINA, menciona_argentina, menciona_argentino, menciona_arg""",https://youtube.com/channel/UCYW7KhGYkchc3_pPg81XqtQ,2025-06-29
UCBy5F5apvBB_Yp4Vcbwkipw,La MAX Stream Radio 95.5,Música,Santa Fe,Por determinar,4610.0,100.0,explicit_country,"""metadata_AR, codigo_SANTA FE, menciona_argentina, menciona_arg, locations_1""",https://youtube.com/channel/UCBy5F5apvBB_Yp4Vcbwkipw,2025-06-29
UCfkegl4lURBlWcnx67TbZNg,LOS RANCHEROS,Música,Argentina,Por determinar,140000.0,80.0,explicit_country,"""metadata_AR, menciona_argentino, menciona_arg""",https://youtube.com/channel/UCfkegl4lURBlWcnx67TbZNg,2025-07-01
UCfCIc3e-UVO2-XQgYwIK9Dg,KABE GAMING,Gaming,Argentina,Por determinar,2550.0,100.0,explicit_country,"""metadata_AR, codigo_ARGENTINA, menciona_argentina, menciona_arg""",https://youtube.com/channel/UCfCIc3e-UVO2-XQgYwIK9Dg,2025-07-02
UCH8jVSTSPU-HkUh3Os1SUgQ,Gabriel Ovejero,Música,Argentina,Por determinar,1170.0,90.0,explicit_country,"""menciona_argentino, menciona_arg, menciona_🇦🇷, locations_1""",https://youtube.com/channel/UCH8jVSTSPU-HkUh3Os1SUgQ,2025-07-02
